_id,ov,clientName,createdAt,status
5ff08487c5f47351ce7b5e41,6557685,UNIFI DO BRASIL LTDA,1609598123257,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 800.000,00"",""Compromisso Total"":""R$ 131.478,19"",""Valor Pedido"":""R$ 31.332,90"",""Grau de utilização"":""16.43%""},""icon"":""search""},{""step"":2,""label"":""Crédito dentro do limite"",""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff300cfc5f47351cec32ba1,6589725,TEBRAS TENSOATIVOS DO BRASIL LTDA,1609761016139,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 105.000,00"",""Compromisso Total"":""R$ 28.086,45"",""Valor Pedido"":""R$ 40.123,50"",""Grau de utilização"":""26.75%""},""icon"":""search""},{""step"":2,""label"":""Crédito dentro do limite"",""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff30c83c5f47351cecd778d,6563907,MELLORE ALIMENTOS LTDA,1609784819856,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""},{""step"":5,""label"":""Pedido não encontrado: Favor verificar se já foi liberado."",""icon"":""x""}]"
5ff31237c5f47351ced31b26,1336073,SAINT GOBAIN ARGENTINA S.A.,1609765431173,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 10.393.400,00"",""Compromisso Total"":""R$ 4.448.849,44"",""Valor Pedido"":""R$ 2.872,28"",""Grau de utilização"":""42.8%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff318fec5f47351cedae234,6641517,ARTEBOX EMABALAGENS LTDA,1609767166907,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 250.000,00"",""Compromisso Total"":""R$ 99.676,16"",""Valor Pedido"":""R$ 11.929,58"",""Grau de utilização"":""39.87%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff31bb1c5f47351ceddd454,56586160,TROMBINI EMBALAGENS S/A,1609767857864,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 12.000.000,00"",""Compromisso Total"":""R$ 3.546.449,83"",""Valor Pedido"":""R$ 161.814,22"",""Grau de utilização"":""29.55%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Limite Vencido, esse pedido não será liberado até que o limite seja regularizado"",""icon"":""slash""}]"
5ff321a9c5f47351cee65ee7,1336359,KIMBERLY CLARK BR IND. COM. PROD. H,1609769385504,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 180.000.000,00"",""Compromisso Total"":""R$ 36.135.447,96"",""Valor Pedido"":""R$ 3.289.924,64"",""Grau de utilização"":""20.08%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff32235c5f47351cee75e97,1336389,KIMBERLY CLARK BRASIL IND E COM,1609769525364,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 180.000.000,00"",""Compromisso Total"":""R$ 36.135.447,96"",""Valor Pedido"":""R$ 8.508.551,43"",""Grau de utilização"":""20.08%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff32c4dc5f47351cef2f2df,6620966,PRODUTOS ERLAN S/A,1609784708263,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 50.957,99"",""Valor Pedido"":""R$ 87.915,80"",""Grau de utilização"":""0%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 183.904,00"",""Compromisso Total"":""R$ 50.957,99"",""Valor Pedido"":""R$ 87.915,80"",""Grau de utilização"":""0%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff32d83c5f47351cef3e5a6,6620958,PRODUTOS ERLAN S/A,1609784690621,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 50.957,99"",""Valor Pedido"":""R$ 90.504,30"",""Grau de utilização"":""0%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 183.904,00"",""Compromisso Total"":""R$ 50.957,99"",""Valor Pedido"":""R$ 90.504,30"",""Grau de utilização"":""0%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff344dac5f47351ce0bbece,6594049,CMPC CELULOSE RIOGRANDENSE LTDA,1609778394809,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 0,00"",""Valor Pedido"":""R$ 50.949,60"",""Grau de utilização"":""NaN%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff34848c5f47351ce0e9c7f,6641906,SAMSUNG ELETRONICA DA AMAZONIA LTDA,1609779272030,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 14.800.000,00"",""Compromisso Total"":""R$ 4.796.138,65"",""Valor Pedido"":""R$ 2.762,41"",""Grau de utilização"":""32.41%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff35530c5f47351ce1ad898,56576467,"WESTROCK, CELULOSE, PAPEL E EMB. LT",1609782576545,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 40.500.000,00"",""Compromisso Total"":""R$ 20.507.235,09"",""Valor Pedido"":""R$ 199.627,20"",""Grau de utilização"":""50.64%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Faturas em Atraso, esse pedido não será liberado até que as faturas sejam regularizadas"",""icon"":""slash""}]"
5ff358c9c5f47351ce1f6520,6563909,MELLORE ALIMENTOS LTDA,1609784454880,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff3591dc5f47351ce1fa6b8,6563910,MELLORE ALIMENTOS LTDA,1609784545739,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 26.400,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 26.400,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff35956c5f47351ce1fda1e,6563912,MELLORE ALIMENTOS LTDA,1609784855631,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff35beac5f47351ce2206c4,6563914,MELLORE ALIMENTOS LTDA,1609784565708,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff35c0dc5f47351ce222fd0,6563916,MELLORE ALIMENTOS LTDA,1609784477773,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 8.800,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
5ff35c73c5f47351ce228622,6641559,MELLORE ALIMENTOS LTDA,1609784838920,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 19.800,00"",""Grau de utilização"":""999.99%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 125.969,11"",""Compromisso Total"":""R$ 24.784,28"",""Valor Pedido"":""R$ 19.800,00"",""Grau de utilização"":""999.99%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar pedido. Favor verificar se já está liberado"",""icon"":""x""}]"
