_id,ov,intention,user,createdAt
5ff7941e4bd6cf0f14a53e4f,6626727,Buscar pedido,kldc00138649,2021-01-07T23:07:10.381Z
5ff794c34bd6cf0f14a53e50,6626727,Buscar pedido,kldc00138649,2021-01-07T23:09:55.960Z
5ff7992b4bd6cf0f14a53e51,6642710,Buscar pedido,KLJS00139682,2021-01-07T23:28:43.292Z
5ff79a254bd6cf0f14a53e52,6642360,Buscar pedido,KLJS00139682,2021-01-07T23:32:53.801Z
5ff79b5b4bd6cf0f14a53e53,6642710,Buscar pedido,KLJS00139682,2021-01-07T23:38:03.673Z
5ff79c474bd6cf0f14a53e54,6643530,Buscar pedido,KLMR00139634,2021-01-07T23:41:59.130Z
5ff7a11b4bd6cf0f14a53e55,6629520,Buscar pedido,KLAA00124926,2021-01-08T00:02:35.069Z
5ff7b3474bd6cf0f14a53e56,6643066,Buscar pedido,Kltq00128873,2021-01-08T01:20:07.520Z
5ff7b4034bd6cf0f14a53e57,6643066,Buscar pedido,Kltq00128873,2021-01-08T01:23:15.554Z
5ff7b52f4bd6cf0f14a53e58,6643069,Buscar pedido,Kltq00128873,2021-01-08T01:28:15.769Z
5ff7ba2e4bd6cf0f14a53e59,6643834,Buscar pedido,kldc00138649,2021-01-08T01:49:34.251Z
5ff7c1214bd6cf0f14a53e5a,6627257,Buscar pedido,kldc00138649,2021-01-08T02:19:13.673Z
5ff7c1884bd6cf0f14a53e5b,6641131,Buscar pedido,klrs00138246,2021-01-08T02:20:56.054Z
5ff7c1c94bd6cf0f14a53e5c,6641131,Buscar pedido,klrs00138246,2021-01-08T02:22:01.508Z
5ff7c27a4bd6cf0f14a53e5d,6641131,Buscar pedido,klrs00138246,2021-01-08T02:24:58.625Z
5ff7c6b64bd6cf0f14a53e5e,6641131,Buscar pedido,klrs00138246,2021-01-08T02:43:02.989Z
5ff7cccf4bd6cf0f14a53e5f,6601812,Buscar pedido,GO1_GFA_EXP,2021-01-08T03:09:03.350Z
5ff7cd404bd6cf0f14a53e60,6601812,Buscar pedido,GO1_GFA_EXP,2021-01-08T03:10:56.407Z
